CAM_ID,Species,Date,Time,Latitude,Longitude
A1,Spotted Deer,29-05-2024,15:42:08,28.44228,77.23447
A1,Spotted Deer,29-05-2024,17:19:32,28.44228,77.23447
A1,Spotted Deer,08-06-2024,06:11:34,28.44228,77.23447
A14,Spotted Deer,10-05-2024,09:27:18,28.44501,77.24403
A14,Spotted Deer,10-05-2024,12:17:16,28.44501,77.24403
A14,Spotted Deer,10-05-2024,13:54:40,28.44501,77.24403
A14,Spotted Deer,10-05-2024,14:34:32,28.44501,77.24403
A14,Spotted Deer,10-05-2024,15:58:48,28.44501,77.24403
A14,Spotted Deer,10-05-2024,16:51:34,28.44501,77.24403
A14,Spotted Deer,10-05-2024,17:38:58,28.44501,77.24403
A14,Spotted Deer,11-05-2024,14:55:18,28.44501,77.24403
A14,Spotted Deer,12-05-2024,06:31:42,28.44501,77.24403
A14,Spotted Deer,13-05-2024,06:13:52,28.44501,77.24403
A14,Spotted Deer,13-05-2024,07:34:46,28.44501,77.24403
A14,Spotted Deer,14-05-2024,07:00:56,28.44501,77.24403
A14,Spotted Deer,14-05-2024,07:56:24,28.44501,77.24403
A14,Spotted Deer,14-05-2024,09:49:52,28.44501,77.24403
A14,Spotted Deer,15-05-2024,07:15:46,28.44501,77.24403
A14,Spotted Deer,16-05-2024,07:16:06,28.44501,77.24403
A14,Spotted Deer,16-05-2024,09:22:22,28.44501,77.24403
A14,Spotted Deer,16-05-2024,15:27:36,28.44501,77.24403
A14,Spotted Deer,17-05-2024,08:37:10,28.44501,77.24403
A14,Spotted Deer,18-05-2024,07:16:40,28.44501,77.24403
A14,Spotted Deer,19-05-2024,07:11:38,28.44501,77.24403
A14,Spotted Deer,20-05-2024,06:08:40,28.44501,77.24403
A14,Spotted Deer,21-05-2024,09:22:48,28.44501,77.24403
A14,Spotted Deer,22-05-2024,06:17:42,28.44501,77.24403
A14,Spotted Deer,22-05-2024,07:16:56,28.44501,77.24403
A14,Spotted Deer,22-05-2024,16:37:06,28.44501,77.24403
A14,Spotted Deer,22-05-2024,17:10:28,28.44501,77.24403
A14,Spotted Deer,23-05-2024,06:18:06,28.44501,77.24403
A14,Spotted Deer,23-05-2024,06:54:16,28.44501,77.24403
A14,Spotted Deer,23-05-2024,07:24:46,28.44501,77.24403
A14,Spotted Deer,23-05-2024,08:02:28,28.44501,77.24403
A14,Spotted Deer,23-05-2024,08:49:48,28.44501,77.24403
A14,Spotted Deer,23-05-2024,09:20:14,28.44501,77.24403
A14,Spotted Deer,23-05-2024,13:45:04,28.44501,77.24403
A14,Spotted Deer,23-05-2024,16:42:40,28.44501,77.24403
A14,Spotted Deer,24-05-2024,06:37:18,28.44501,77.24403
A14,Spotted Deer,24-05-2024,08:14:44,28.44501,77.24403
A14,Spotted Deer,24-05-2024,08:46:00,28.44501,77.24403
A14,Spotted Deer,24-05-2024,09:31:56,28.44501,77.24403
A14,Spotted Deer,24-05-2024,16:55:50,28.44501,77.24403
A14,Spotted Deer,25-05-2024,07:27:40,28.44501,77.24403
A14,Spotted Deer,26-05-2024,06:43:42,28.44501,77.24403
A14,Spotted Deer,26-05-2024,07:16:52,28.44501,77.24403
A14,Spotted Deer,26-05-2024,17:32:40,28.44501,77.24403
A14,Spotted Deer,26-05-2024,18:06:04,28.44501,77.24403
A14,Spotted Deer,27-05-2024,06:22:16,28.44501,77.24403
A14,Spotted Deer,27-05-2024,07:04:26,28.44501,77.24403
A14,Spotted Deer,28-05-2024,07:07:36,28.44501,77.24403
A14,Spotted Deer,29-05-2024,07:05:50,28.44501,77.24403
A14,Spotted Deer,29-05-2024,17:07:36,28.44501,77.24403
A14,Spotted Deer,29-05-2024,19:25:30,28.44501,77.24403
A14,Spotted Deer,30-05-2024,09:00:28,28.44501,77.24403
A14,Spotted Deer,30-05-2024,17:30:48,28.44501,77.24403
A14,Spotted Deer,31-05-2024,08:18:40,28.44501,77.24403
A14,Spotted Deer,31-05-2024,08:50:58,28.44501,77.24403
A14,Spotted Deer,01-06-2024,06:49:34,28.44501,77.24403
A14,Spotted Deer,01-06-2024,08:44:04,28.44501,77.24403
A14,Spotted Deer,01-06-2024,15:54:00,28.44501,77.24403
A14,Spotted Deer,02-06-2024,00:31:38,28.44501,77.24403
A14,Spotted Deer,03-06-2024,06:30:08,28.44501,77.24403
A14,Spotted Deer,03-06-2024,07:07:40,28.44501,77.24403
A14,Spotted Deer,03-06-2024,07:49:10,28.44501,77.24403
A14,Spotted Deer,04-06-2024,05:15:56,28.44501,77.24403
A14,Spotted Deer,04-06-2024,07:35:46,28.44501,77.24403
