CAM_ID,Species,Date,Time,Latitude,Longitude
A1,Indian Leopard,28-05-2024,20:15:50,28.44228,77.23447
A1,Indian Leopard,31-05-2024,22:31:36,28.44228,77.23447
A1,Indian Leopard,05-06-2024,05:24:12,28.44228,77.23447
A13,Indian Leopard,29-05-2024,01:13:36,28.48332,77.23753
A13,Indian Leopard,04-06-2024,18:49:46,28.48332,77.23753
A13,Indian Leopard,06-06-2024,20:48:54,28.48332,77.23753
A13,Indian Leopard,07-06-2024,22:39:30,28.48332,77.23753
A14,Indian Leopard,14-05-2024,23:21:26,28.44501,77.24403
A14,Indian Leopard,15-05-2024,05:09:38,28.44501,77.24403
A14,Indian Leopard,18-05-2024,04:53:36,28.44501,77.24403
A14,Indian Leopard,02-06-2024,05:43:20,28.44501,77.24403
A15,Indian Leopard,11-05-2024,03:10:02,28.41165,77.21386
A15,Indian Leopard,17-05-2024,23:43:00,28.41165,77.21386
A15,Indian Leopard,19-05-2024,23:59:16,28.41165,77.21386
A15,Indian Leopard,21-05-2024,01:36:06,28.41165,77.21386
A15,Indian Leopard,24-05-2024,19:41:34,28.41165,77.21386
A17,Indian Leopard,14-05-2024,04:54:40,28.41505,77.21671
A20,Indian Leopard,05-06-2024,00:55:08,28.48291,77.23418
A20,Indian Leopard,08-06-2024,02:37:24,28.48291,77.23418
A3,Indian Leopard,20-05-2024,22:07:00,28.47193,77.23153
A5,Indian Leopard,25-05-2024,04:08:20,28.41992,77.22028
A5,Indian Leopard,27-05-2024,00:55:40,28.41992,77.22028
A5,Indian Leopard,03-06-2024,03:59:04,28.41992,77.22028
A5,Indian Leopard,03-06-2024,20:58:36,28.41992,77.22028
A5,Indian Leopard,05-06-2024,16:35:06,28.41992,77.22028
A6,Indian Leopard,28-05-2024,20:06:12,28.480558,77.221575
A6,Indian Leopard,03-06-2024,01:22:52,28.480558,77.221575
A6,Indian Leopard,04-06-2024,01:43:02,28.480558,77.221575
A7,Indian Leopard,28-05-2024,20:00:50,28.44955,77.22835
A7,Indian Leopard,29-05-2024,03:05:54,28.44955,77.22835
A9,Indian Leopard,13-05-2024,20:07:52,28.44969,77.24522
A9,Indian Leopard,17-05-2024,16:19:46,28.44969,77.24522
A9,Indian Leopard,17-05-2024,19:44:22,28.44969,77.24522
A9,Indian Leopard,19-05-2024,01:10:02,28.44969,77.24522
A9,Indian Leopard,25-05-2024,21:45:48,28.44969,77.24522
