CAM_ID,Species,Date,Time,Latitude,Longitude
A1,Indian-crested Porcupine,24-05-2024,01:54:12,28.44228,77.23447
A1,Indian-crested Porcupine,24-05-2024,03:24:00,28.44228,77.23447
A1,Indian-crested Porcupine,26-05-2024,04:32:52,28.44228,77.23447
A1,Indian-crested Porcupine,28-05-2024,02:57:16,28.44228,77.23447
A1,Indian-crested Porcupine,29-05-2024,00:32:32,28.44228,77.23447
A1,Indian-crested Porcupine,29-05-2024,02:59:10,28.44228,77.23447
A1,Indian-crested Porcupine,30-05-2024,02:36:06,28.44228,77.23447
A1,Indian-crested Porcupine,07-06-2024,00:19:16,28.44228,77.23447
A1,Indian-crested Porcupine,07-06-2024,03:53:26,28.44228,77.23447
A1,Indian-crested Porcupine,07-06-2024,21:34:08,28.44228,77.23447
A1,Indian-crested Porcupine,08-06-2024,03:22:22,28.44228,77.23447
A10,Indian-crested Porcupine,27-05-2024,23:55:26,28.45882,77.22956
A10,Indian-crested Porcupine,03-06-2024,04:15:58,28.45882,77.22956
A11,Indian-crested Porcupine,22-05-2024,02:02:32,28.410539,77.213319
A11,Indian-crested Porcupine,23-05-2024,04:08:54,28.410539,77.213319
A11,Indian-crested Porcupine,30-05-2024,03:27:38,28.410539,77.213319
A11,Indian-crested Porcupine,31-05-2024,04:04:42,28.410539,77.213319
A11,Indian-crested Porcupine,02-06-2024,03:30:14,28.410539,77.213319
A11,Indian-crested Porcupine,03-06-2024,03:45:50,28.410539,77.213319
A11,Indian-crested Porcupine,07-06-2024,23:16:08,28.410539,77.213319
A13,Indian-crested Porcupine,24-05-2024,19:39:40,28.48332,77.23753
A13,Indian-crested Porcupine,26-05-2024,19:54:34,28.48332,77.23753
A13,Indian-crested Porcupine,27-05-2024,21:37:22,28.48332,77.23753
A13,Indian-crested Porcupine,28-05-2024,19:37:08,28.48332,77.23753
A13,Indian-crested Porcupine,30-05-2024,20:17:58,28.48332,77.23753
A13,Indian-crested Porcupine,31-05-2024,04:00:44,28.48332,77.23753
A13,Indian-crested Porcupine,01-06-2024,03:02:32,28.48332,77.23753
A13,Indian-crested Porcupine,01-06-2024,04:05:48,28.48332,77.23753
A13,Indian-crested Porcupine,02-06-2024,04:07:34,28.48332,77.23753
A13,Indian-crested Porcupine,02-06-2024,19:56:22,28.48332,77.23753
A13,Indian-crested Porcupine,03-06-2024,04:20:58,28.48332,77.23753
A13,Indian-crested Porcupine,03-06-2024,19:56:38,28.48332,77.23753
A13,Indian-crested Porcupine,04-06-2024,03:14:34,28.48332,77.23753
A13,Indian-crested Porcupine,04-06-2024,19:55:12,28.48332,77.23753
A13,Indian-crested Porcupine,05-06-2024,00:12:36,28.48332,77.23753
A13,Indian-crested Porcupine,07-06-2024,19:54:26,28.48332,77.23753
A13,Indian-crested Porcupine,07-06-2024,21:17:28,28.48332,77.23753
A13,Indian-crested Porcupine,07-06-2024,22:00:20,28.48332,77.23753
A14,Indian-crested Porcupine,11-05-2024,03:08:04,28.44501,77.24403
A14,Indian-crested Porcupine,11-05-2024,03:56:46,28.44501,77.24403
A14,Indian-crested Porcupine,11-05-2024,22:00:54,28.44501,77.24403
A14,Indian-crested Porcupine,13-05-2024,02:03:42,28.44501,77.24403
A14,Indian-crested Porcupine,15-05-2024,02:07:44,28.44501,77.24403
A14,Indian-crested Porcupine,17-05-2024,02:01:10,28.44501,77.24403
A14,Indian-crested Porcupine,17-05-2024,02:54:52,28.44501,77.24403
A14,Indian-crested Porcupine,17-05-2024,03:39:26,28.44501,77.24403
A14,Indian-crested Porcupine,17-05-2024,04:16:24,28.44501,77.24403
A14,Indian-crested Porcupine,18-05-2024,00:41:52,28.44501,77.24403
A14,Indian-crested Porcupine,26-05-2024,01:59:44,28.44501,77.24403
A14,Indian-crested Porcupine,28-05-2024,01:43:42,28.44501,77.24403
A14,Indian-crested Porcupine,28-05-2024,03:25:16,28.44501,77.24403
A14,Indian-crested Porcupine,03-06-2024,01:30:36,28.44501,77.24403
A15,Indian-crested Porcupine,06-06-2024,03:32:14,28.41165,77.21386
A17,Indian-crested Porcupine,17-05-2024,01:32:26,28.41505,77.21671
A18,Indian-crested Porcupine,13-05-2024,23:23:36,28.4881,77.24258
A18,Indian-crested Porcupine,03-06-2024,20:04:04,28.4881,77.24258
A20,Indian-crested Porcupine,30-05-2024,04:22:16,28.48291,77.23418
A20,Indian-crested Porcupine,03-06-2024,02:53:56,28.48291,77.23418
A20,Indian-crested Porcupine,03-06-2024,22:14:24,28.48291,77.23418
A20,Indian-crested Porcupine,04-06-2024,19:46:38,28.48291,77.23418
A20,Indian-crested Porcupine,08-06-2024,04:11:28,28.48291,77.23418
A3,Indian-crested Porcupine,09-05-2024,20:19:32,28.47193,77.23153
A3,Indian-crested Porcupine,10-05-2024,21:01:28,28.47193,77.23153
A3,Indian-crested Porcupine,11-05-2024,19:51:02,28.47193,77.23153
A3,Indian-crested Porcupine,12-05-2024,04:56:18,28.47193,77.23153
A3,Indian-crested Porcupine,12-05-2024,20:03:50,28.47193,77.23153
A3,Indian-crested Porcupine,12-05-2024,22:31:40,28.47193,77.23153
A3,Indian-crested Porcupine,14-05-2024,21:41:26,28.47193,77.23153
