CAM_ID,Species,Date,Time,Latitude,Longitude
A1,Ruddy mongoose,04-06-2024,14:44:02,28.44228,77.23447
A11,Ruddy mongoose,02-06-2024,09:51:06,28.410539,77.213319
A13,Ruddy mongoose,25-05-2024,10:03:38,28.48332,77.23753
A13,Ruddy mongoose,26-05-2024,09:55:18,28.48332,77.23753
A13,Ruddy mongoose,26-05-2024,11:42:36,28.48332,77.23753
A13,Ruddy mongoose,26-05-2024,14:38:50,28.48332,77.23753
A13,Ruddy mongoose,27-05-2024,11:36:46,28.48332,77.23753
A13,Ruddy mongoose,27-05-2024,17:12:48,28.48332,77.23753
A13,Ruddy mongoose,28-05-2024,12:38:40,28.48332,77.23753
A13,Ruddy mongoose,29-05-2024,13:19:00,28.48332,77.23753
A13,Ruddy mongoose,29-05-2024,16:27:18,28.48332,77.23753
A13,Ruddy mongoose,30-05-2024,16:02:12,28.48332,77.23753
A13,Ruddy mongoose,31-05-2024,11:37:22,28.48332,77.23753
A13,Ruddy mongoose,31-05-2024,12:30:50,28.48332,77.23753
A13,Ruddy mongoose,31-05-2024,15:42:56,28.48332,77.23753
A13,Ruddy mongoose,02-06-2024,10:51:56,28.48332,77.23753
A13,Ruddy mongoose,02-06-2024,12:55:26,28.48332,77.23753
A13,Ruddy mongoose,02-06-2024,13:35:56,28.48332,77.23753
A13,Ruddy mongoose,02-06-2024,15:05:00,28.48332,77.23753
A13,Ruddy mongoose,07-06-2024,12:23:02,28.48332,77.23753
A14,Ruddy mongoose,14-05-2024,10:41:58,28.44501,77.24403
A14,Ruddy mongoose,16-05-2024,15:04:36,28.44501,77.24403
A14,Ruddy mongoose,19-05-2024,07:10:02,28.44501,77.24403
A17,Ruddy mongoose,17-05-2024,11:19:54,28.41505,77.21671
A3,Ruddy mongoose,09-06-2024,14:36:46,28.47193,77.23153
A4,Ruddy mongoose,18-05-2024,15:09:04,28.47278,77.235
A5,Ruddy mongoose,21-05-2024,11:32:56,28.41992,77.22028
A5,Ruddy mongoose,21-05-2024,13:11:16,28.41992,77.22028
A5,Ruddy mongoose,21-05-2024,14:49:38,28.41992,77.22028
A5,Ruddy mongoose,26-05-2024,07:15:18,28.41992,77.22028
A7,Ruddy mongoose,19-05-2024,07:42:16,28.44955,77.22835
A7,Ruddy mongoose,23-05-2024,10:22:32,28.44955,77.22835
A9,Ruddy mongoose,11-05-2024,10:07:06,28.44955,77.22835
A9,Ruddy mongoose,12-05-2024,15:10:20,28.44955,77.22835
A9,Ruddy mongoose,14-05-2024,15:51:04,28.44969,77.24522
A9,Ruddy mongoose,18-05-2024,07:39:02,28.44969,77.24522
A9,Ruddy mongoose,20-05-2024,08:28:20,28.44969,77.24522
A9,Ruddy mongoose,20-05-2024,14:28:58,28.44969,77.24522
A9,Ruddy mongoose,22-05-2024,09:08:34,28.44969,77.24522
A9,Ruddy mongoose,24-05-2024,09:22:10,28.44969,77.24522
A9,Ruddy mongoose,24-05-2024,10:42:20,28.44969,77.24522
A9,Ruddy mongoose,25-05-2024,07:54:00,28.44969,77.24522
A9,Ruddy mongoose,25-05-2024,17:47:52,28.44969,77.24522
A9,Ruddy mongoose,26-05-2024,08:29:06,28.44969,77.24522
A9,Ruddy mongoose,27-05-2024,19:03:48,28.44969,77.24522
