CAM_ID,Species,Date,Time,Latitude,Longitude
A1,Stray Dog,02-06-2024,06:45:22,28.44228,77.23447
A13,Stray Dog,11-05-2024,06:37:36,28.48332,77.23753
A13,Stray Dog,25-05-2024,06:02:00,28.48332,77.23753
A14,Stray Dog,18-05-2024,14:48:52,28.44501,77.24403
A14,Stray Dog,25-05-2024,13:29:38,28.44501,77.24403
A14,Stray Dog,03-06-2024,11:55:00,28.44501,77.24403
A14,Stray Dog,03-06-2024,15:01:48,28.44501,77.24403
A14,Stray Dog,03-06-2024,15:33:12,28.44501,77.24403
A14,Stray Dog,05-06-2024,15:26:02,28.44501,77.24403
A15,Stray Dog,11-05-2024,07:11:10,28.41165,77.21386
A16,Stray Dog,24-05-2024,19:27:34,28.48562,77.24502
A17,Stray Dog,11-05-2024,10:04:46,28.41505,77.21671
A18,Stray Dog,20-05-2024,18:33:12,28.4881,77.24258
A18,Stray Dog,22-05-2024,17:05:52,28.4881,77.24258
A18,Stray Dog,23-05-2024,06:38:26,28.4881,77.24258
A18,Stray Dog,26-05-2024,10:33:50,28.4881,77.24258
A18,Stray Dog,27-05-2024,10:09:36,28.4881,77.24258
A18,Stray Dog,30-05-2024,14:16:46,28.4881,77.24258
A18,Stray Dog,30-05-2024,16:23:46,28.4881,77.24258
A18,Stray Dog,01-06-2024,08:06:08,28.4881,77.24258
A18,Stray Dog,01-06-2024,10:29:40,28.4881,77.24258
A18,Stray Dog,02-06-2024,18:59:22,28.4881,77.24258
A18,Stray Dog,03-06-2024,15:47:42,28.4881,77.24258
A18,Stray Dog,04-06-2024,17:41:32,28.4881,77.24258
A18,Stray Dog,05-06-2024,07:20:04,28.4881,77.24258
A18,Stray Dog,06-06-2024,09:43:00,28.4881,77.24258
A18,Stray Dog,06-06-2024,11:23:00,28.4881,77.24258
A18,Stray Dog,06-06-2024,15:44:18,28.4881,77.24258
A18,Stray Dog,06-06-2024,17:03:48,28.4881,77.24258
A18,Stray Dog,06-06-2024,19:02:24,28.4881,77.24258
A18,Stray Dog,07-06-2024,18:36:46,28.4881,77.24258
A18,Stray Dog,08-06-2024,09:10:38,28.4881,77.24258
A18,Stray Dog,08-06-2024,12:42:08,28.4881,77.24258
A19,Stray Dog,21-05-2024,17:45:36,28.42648,77.2172
A19,Stray Dog,22-05-2024,05:56:36,28.42648,77.2172
A19,Stray Dog,22-05-2024,08:17:56,28.42648,77.2172
A19,Stray Dog,22-05-2024,09:42:00,28.42648,77.2172
A19,Stray Dog,22-05-2024,16:27:28,28.42648,77.2172
A19,Stray Dog,22-05-2024,17:55:46,28.42648,77.2172
A19,Stray Dog,23-05-2024,05:25:00,28.42648,77.2172
A19,Stray Dog,23-05-2024,06:36:22,28.42648,77.2172
A19,Stray Dog,23-05-2024,15:54:24,28.42648,77.2172
A19,Stray Dog,24-05-2024,05:58:46,28.42648,77.2172
A19,Stray Dog,24-05-2024,07:37:24,28.42648,77.2172
A19,Stray Dog,24-05-2024,11:25:50,28.42648,77.2172
A19,Stray Dog,24-05-2024,16:07:14,28.42648,77.2172
A19,Stray Dog,25-05-2024,05:38:10,28.42648,77.2172
A19,Stray Dog,25-05-2024,16:15:02,28.42648,77.2172
A19,Stray Dog,26-05-2024,06:17:06,28.42648,77.2172
A19,Stray Dog,26-05-2024,18:07:22,28.42648,77.2172
A19,Stray Dog,27-05-2024,06:02:40,28.42648,77.2172
A19,Stray Dog,27-05-2024,16:14:52,28.42648,77.2172
A19,Stray Dog,27-05-2024,18:14:34,28.42648,77.2172
A19,Stray Dog,28-05-2024,17:20:14,28.42648,77.2172
A19,Stray Dog,29-05-2024,07:57:40,28.42648,77.2172
A19,Stray Dog,29-05-2024,16:02:30,28.42648,77.2172
A19,Stray Dog,30-05-2024,05:53:40,28.42648,77.2172
A19,Stray Dog,30-05-2024,13:41:04,28.42648,77.2172
A19,Stray Dog,31-05-2024,06:41:38,28.42648,77.2172
