CAM_ID,Species,Date,Time,Latitude,Longitude
A1,Wild Pig,24-05-2024,23:00:48,28.44228,77.23447
A1,Wild Pig,27-05-2024,21:54:32,28.44228,77.23447
A1,Wild Pig,27-05-2024,23:03:54,28.44228,77.23447
A1,Wild Pig,28-05-2024,23:32:30,28.44228,77.23447
A1,Wild Pig,29-05-2024,00:44:26,28.44228,77.23447
A1,Wild Pig,29-05-2024,01:41:12,28.44228,77.23447
A1,Wild Pig,29-05-2024,02:30:50,28.44228,77.23447
A1,Wild Pig,30-05-2024,11:22:08,28.44228,77.23447
A1,Wild Pig,05-06-2024,01:17:24,28.44228,77.23447
A10,Wild Pig,18-05-2024,05:25:54,28.45882,77.22956
A10,Wild Pig,19-05-2024,03:58:10,28.45882,77.22956
A10,Wild Pig,22-05-2024,21:33:08,28.45882,77.22956
A10,Wild Pig,26-05-2024,04:24:36,28.45882,77.22956
A11,Wild Pig,02-06-2024,05:03:52,28.410539,77.213319
A13,Wild Pig,07-06-2024,18:28:32,28.48332,77.23753
A14,Wild Pig,10-05-2024,20:19:02,28.44501,77.24403
A14,Wild Pig,10-05-2024,21:09:56,28.44501,77.24403
A14,Wild Pig,10-05-2024,23:42:52,28.44501,77.24403
A14,Wild Pig,11-05-2024,18:29:30,28.44501,77.24403
A14,Wild Pig,11-05-2024,19:20:24,28.44501,77.24403
A14,Wild Pig,11-05-2024,19:53:26,28.44501,77.24403
A14,Wild Pig,11-05-2024,22:35:22,28.44501,77.24403
A14,Wild Pig,12-05-2024,02:21:34,28.44501,77.24403
A14,Wild Pig,12-05-2024,20:00:00,28.44501,77.24403
A14,Wild Pig,12-05-2024,20:37:22,28.44501,77.24403
A14,Wild Pig,13-05-2024,02:55:46,28.44501,77.24403
A14,Wild Pig,13-05-2024,22:00:54,28.44501,77.24403
A14,Wild Pig,16-05-2024,20:09:44,28.44501,77.24403
A14,Wild Pig,19-05-2024,02:20:40,28.44501,77.24403
A14,Wild Pig,19-05-2024,03:23:48,28.44501,77.24403
A14,Wild Pig,21-05-2024,20:41:54,28.44501,77.24403
A14,Wild Pig,22-05-2024,20:05:36,28.44501,77.24403
A14,Wild Pig,23-05-2024,00:11:42,28.44501,77.24403
A14,Wild Pig,23-05-2024,21:55:56,28.44501,77.24403
A14,Wild Pig,24-05-2024,22:40:50,28.44501,77.24403
A14,Wild Pig,25-05-2024,03:22:02,28.44501,77.24403
A14,Wild Pig,25-05-2024,04:03:56,28.44501,77.24403
A14,Wild Pig,25-05-2024,04:53:20,28.44501,77.24403
A14,Wild Pig,26-05-2024,02:07:26,28.44501,77.24403
A14,Wild Pig,26-05-2024,04:47:52,28.44501,77.24403
A14,Wild Pig,27-05-2024,20:24:04,28.44501,77.24403
A14,Wild Pig,27-05-2024,20:55:22,28.44501,77.24403
A14,Wild Pig,27-05-2024,22:43:14,28.44501,77.24403
A14,Wild Pig,28-05-2024,22:14:46,28.44501,77.24403
A14,Wild Pig,28-05-2024,23:43:06,28.44501,77.24403
A14,Wild Pig,29-05-2024,20:05:54,28.44501,77.24403
A14,Wild Pig,30-05-2024,20:59:58,28.44501,77.24403
A14,Wild Pig,30-05-2024,22:59:48,28.44501,77.24403
A14,Wild Pig,31-05-2024,09:33:46,28.44501,77.24403
A14,Wild Pig,01-06-2024,03:26:32,28.44501,77.24403
A14,Wild Pig,02-06-2024,05:04:52,28.44501,77.24403
A14,Wild Pig,02-06-2024,18:50:10,28.44501,77.24403
A14,Wild Pig,03-06-2024,20:33:46,28.44501,77.24403
A14,Wild Pig,03-06-2024,22:33:36,28.44501,77.24403
A14,Wild Pig,04-06-2024,19:29:48,28.44501,77.24403
A14,Wild Pig,06-06-2024,02:09:14,28.44501,77.24403
A14,Wild Pig,06-06-2024,03:51:44,28.44501,77.24403
A14,Wild Pig,06-06-2024,04:26:14,28.44501,77.24403
A14,Wild Pig,06-06-2024,13:21:38,28.44501,77.24403
A14,Wild Pig,06-06-2024,19:35:02,28.44501,77.24403
A14,Wild Pig,06-06-2024,20:22:48,28.44501,77.24403
A14,Wild Pig,06-06-2024,20:59:04,28.44501,77.24403
A14,Wild Pig,06-06-2024,22:24:24,28.44501,77.24403
A14,Wild Pig,07-06-2024,19:55:28,28.44501,77.24403
A14,Wild Pig,07-06-2024,20:26:10,28.44501,77.24403
A14,Wild Pig,08-06-2024,04:39:02,28.44501,77.24403
A15,Wild Pig,29-05-2024,04:15:40,28.41165,77.21386
A15,Wild Pig,05-06-2024,20:53:20,28.41165,77.21386
A16,Wild Pig,23-05-2024,02:37:28,28.48562,77.24502
A17,Wild Pig,23-05-2024,05:47:34,28.41505,77.21671
A18,Wild Pig,04-06-2024,04:55:32,28.4881,77.24258
A2,Wild Pig,30-05-2024,04:55:16,28.44397,77.23197
A2,Wild Pig,01-06-2024,04:29:12,28.44397,77.23197
A2,Wild Pig,01-06-2024,05:01:22,28.44397,77.23197
A20,Wild Pig,26-05-2024,19:47:00,28.48291,77.23418
A3,Wild Pig,09-05-2024,11:17:56,28.47193,77.23153
A3,Wild Pig,09-05-2024,13:12:12,28.47193,77.23153
A3,Wild Pig,15-05-2024,00:53:40,28.47193,77.23153
A3,Wild Pig,15-05-2024,10:48:24,28.47193,77.23153
A3,Wild Pig,16-05-2024,03:46:04,28.47193,77.23153
A3,Wild Pig,19-05-2024,02:19:20,28.47193,77.23153
A3,Wild Pig,20-05-2024,09:00:34,28.47193,77.23153
A3,Wild Pig,23-05-2024,01:29:20,28.47193,77.23153
A3,Wild Pig,23-05-2024,11:53:48,28.47193,77.23153
A3,Wild Pig,24-05-2024,23:52:20,28.47193,77.23153
A3,Wild Pig,25-05-2024,10:38:30,28.47193,77.23153
A3,Wild Pig,25-05-2024,11:47:48,28.47193,77.23153
A3,Wild Pig,25-05-2024,14:13:48,28.47193,77.23153
A3,Wild Pig,27-05-2024,07:37:36,28.47193,77.23153
A3,Wild Pig,27-05-2024,08:57:06,28.47193,77.23153
A3,Wild Pig,27-05-2024,10:55:46,28.47193,77.23153
A3,Wild Pig,28-05-2024,12:50:12,28.47193,77.23153
A3,Wild Pig,29-05-2024,19:40:16,28.47193,77.23153
A3,Wild Pig,03-06-2024,11:10:12,28.47193,77.23153
A3,Wild Pig,04-06-2024,01:07:10,28.47193,77.23153
A3,Wild Pig,04-06-2024,14:50:48,28.47193,77.23153
A3,Wild Pig,05-06-2024,14:06:42,28.47193,77.23153
A3,Wild Pig,07-06-2024,18:18:58,28.47193,77.23153
A4,Wild Pig,12-05-2024,01:16:14,28.47278,77.235
A4,Wild Pig,17-05-2024,10:34:08,28.47278,77.235
A4,Wild Pig,26-05-2024,20:21:44,28.47278,77.235
A5,Wild Pig,23-05-2024,21:18:44,28.41992,77.22028
A5,Wild Pig,25-05-2024,02:50:32,28.41992,77.22028
A5,Wild Pig,25-05-2024,20:43:56,28.41992,77.22028
A5,Wild Pig,25-05-2024,22:30:56,28.41992,77.22028
A5,Wild Pig,26-05-2024,21:20:28,28.41992,77.22028
A5,Wild Pig,27-05-2024,03:13:14,28.41992,77.22028
A5,Wild Pig,03-06-2024,03:57:28,28.41992,77.22028
A5,Wild Pig,03-06-2024,21:50:44,28.41992,77.22028
A5,Wild Pig,05-06-2024,20:18:12,28.41992,77.22028
A6,Wild Pig,09-05-2024,21:01:58,28.480558,77.221575
A6,Wild Pig,29-05-2024,03:08:24,28.480558,77.221575
A6,Wild Pig,30-05-2024,19:01:56,28.480558,77.221575
A6,Wild Pig,03-06-2024,06:59:56,28.480558,77.221575
A6,Wild Pig,07-06-2024,19:12:50,28.480558,77.221575
A6,Wild Pig,09-06-2024,05:32:48,28.480558,77.221575
A7,Wild Pig,13-05-2024,20:08:18,28.44955,77.22835
A7,Wild Pig,13-05-2024,20:42:30,28.44955,77.22835
A7,Wild Pig,13-05-2024,22:37:24,28.44955,77.22835
A7,Wild Pig,14-05-2024,22:02:32,28.44955,77.22835
A7,Wild Pig,15-05-2024,02:53:52,28.44955,77.22835
A7,Wild Pig,17-05-2024,01:34:38,28.44955,77.22835
A7,Wild Pig,18-05-2024,21:36:46,28.44955,77.22835
A7,Wild Pig,24-05-2024,06:08:50,28.44955,77.22835
A7,Wild Pig,29-05-2024,03:43:32,28.44955,77.22835
